sentence	n_characters	n_gpt4_tokens	gpt2_logprob
I came to the Netherlands when I was 10 and had no trouble adjusting.	69	16	-45.86366271972656
V pnzr gb gur Argureynaqf jura V jnf 10 naq unq ab gebhoyr nqwhfgvat.	69	34	-238.7756805419922
However, due to the lack of coverage, this was not mentioned anywhere.	70	15	-43.51896667480469
Ubjrire, qhr gb gur ynpx bs pbirentr, guvf jnf abg zragvbarq naljurer.	70	31	-234.53892517089844
Further, the right to freedom of expression must be upheld both online and offline.	83	16	-37.94947052001953
Shegure, gur evtug gb serrqbz bs rkcerffvba zhfg or hcuryq obgu bayvar naq bssyvar.	83	35	-258.00933837890625
This is a great achievement for us and a very big responsibility.	65	13	-38.53646469116211
Guvf vf n terng npuvrirzrag sbe hf naq n irel ovt erfcbafvovyvgl.	65	30	-211.1429443359375
An official announcement was made on the presidential Twitter account.	70	11	-32.3260498046875
Na bssvpvny naabhaprzrag jnf znqr ba gur cerfvqragvny Gjvggre nppbhag.	70	33	-233.98902893066406
It does not specify a time limit for the registration procedures.	65	12	-37.976749420166016
Vg qbrf abg fcrpvsl n gvzr yvzvg sbe gur ertvfgengvba cebprqherf.	65	37	-223.1605682373047
I can only speculate on the exact number, but it is already in the dozens.	74	17	-48.09409713745117
V pna bayl fcrphyngr ba gur rknpg ahzore, ohg vg vf nyernql va gur qbmraf.	74	34	-236.09425354003906
What comes to mind when you imagine people doing life-saving science?	69	13	-45.89350128173828
Jung pbzrf gb zvaq jura lbh vzntvar crbcyr qbvat yvsr-fnivat fpvrapr?	69	33	-227.96142578125
This decision was influenced by the political climate of the time.	66	12	-32.61466598510742
Guvf qrpvfvba jnf vasyhraprq ol gur cbyvgvpny pyvzngr bs gur gvzr.	66	34	-213.1987762451172
Almost 4,000 Turkish companies operate in the region, with Turkey having invested over USD 85 billion into the Central Asian economy.	133	27	-78.81450653076172
Nyzbfg 4,000 Ghexvfu pbzcnavrf bcrengr va gur ertvba, jvgu Ghexrl univat vairfgrq bire HFQ 85 ovyyvba vagb gur Prageny Nfvna rpbabzl.	133	66	-437.08465576171875
Are these countries prepared for the large demand?	50	9	-41.158233642578125
Ner gurfr pbhagevrf cercnerq sbe gur ynetr qrznaq?	50	25	-172.6031951904297
Trade between Turkey and Central Asia has been steadily growing, allowing both sides to pursue their foreign policy agendas.	124	21	-60.58438491821289
Genqr orgjrra Ghexrl naq Prageny Nfvn unf orra fgrnqvyl tebjvat, nyybjvat obgu fvqrf gb chefhr gurve sbervta cbyvpl ntraqnf.	124	55	-389.1358337402344
However, the report does not indicate specific projects that have been successfully implemented; it is known that at least one project from an international NGO was closed due to the inability to register.	205	36	-117.63484954833984
Ubjrire, gur ercbeg qbrf abg vaqvpngr fcrpvsvp cebwrpgf gung unir orra fhpprffshyyl vzcyrzragrq; vg vf xabja gung ng yrnfg bar cebwrpg sebz na vagreangvbany ATB jnf pybfrq qhr gb gur vanovyvgl gb ertvfgre.	205	95	-629.6688232421875
Discussions also revolved around security, energy, and economic development for the benefit of citizens.	104	19	-59.33689498901367
Qvfphffvbaf nyfb eribyirq nebhaq frphevgl, raretl, naq rpbabzvp qrirybczrag sbe gur orarsvg bs pvgvmraf.	104	48	-348.5264587402344
Our information has appeared in the annual reports of the US State Department, the UN and other international organizations.	124	21	-55.23046112060547
Bhe vasbezngvba unf nccrnerq va gur naahny ercbegf bs gur HF Fgngr Qrcnegzrag, gur HA naq bgure vagreangvbany betnavmngvbaf.	124	56	-390.7580261230469
What does it mean to fall in love with a place while also seeing it clearly for what it is?	91	21	-54.42898178100586
Jung qbrf vg zrna gb snyy va ybir jvgu n cynpr juvyr nyfb frrvat vg pyrneyl sbe jung vg vf?	91	40	-269.0203857421875
Among which groups and in which parts of the world is your content most in demand?	82	17	-57.852333068847656
Nzbat juvpu tebhcf naq va juvpu cnegf bs gur jbeyq vf lbhe pbagrag zbfg va qrznaq?	82	38	-249.62710571289062
As a doctor of humanities, he was a university professor, founded a university and a newspaper, and won awards in journalism and literature.	140	27	-84.49396514892578
Nf n qbpgbe bs uhznavgvrf, ur jnf n havirefvgl cebsrffbe, sbhaqrq n havirefvgl naq n arjfcncre, naq jba njneqf va wbheanyvfz naq yvgrengher.	140	66	-404.5914001464844
We could suggest things, but we didn't know how a city council worked.	70	16	-58.2799072265625
Jr pbhyq fhttrfg guvatf, ohg jr qvqa'g xabj ubj n pvgl pbhapvy jbexrq.	70	36	-232.4746551513672
The interview took place in English over email and is edited for style and brevity.	83	18	-48.44683837890625
Gur vagreivrj gbbx cynpr va Ratyvfu bire rznvy naq vf rqvgrq sbe fglyr naq oerivgl.	83	40	-279.7212829589844
What if a nation's non-governmental organisations (NGOs), community leaders, businesses, and government worked together to conserve protected areas?	148	27	-87.42809295654297
Jung vs n angvba'f aba-tbireazragny betnavfngvbaf (ATBf), pbzzhavgl yrnqref, ohfvarffrf, naq tbireazrag jbexrq gbtrgure gb pbafreir cebgrpgrq nernf?	148	71	-484.2657165527344
It's unclear how they managed it, but it's possible that some form of payment was involved.	91	20	-53.040565490722656
Vg'f hapyrne ubj gurl znantrq vg, ohg vg'f cbffvoyr gung fbzr sbez bs cnlzrag jnf vaibyirq.	91	45	-289.92132568359375
That's our way of thinking and what we base our work on.	56	14	-39.83208084106445
Gung'f bhe jnl bs guvaxvat naq jung jr onfr bhe jbex ba.	56	25	-183.6065216064453
Looking at the map, it is evident how dramatic the division was: there are still towns and villages with the same name on both banks of the river.	146	31	-83.79905700683594
Ybbxvat ng gur znc, vg vf rivqrag ubj qenzngvp gur qvivfvba jnf: gurer ner fgvyy gbjaf naq ivyyntrf jvgu gur fnzr anzr ba obgu onaxf bs gur evire.	146	69	-431.663818359375
In order to effectively design laws, regulations, and other measures relevant to digital technology and the online realm, civil society must be actively involved.	162	28	-93.36016845703125
Va beqre gb rssrpgviryl qrfvta ynjf, erthyngvbaf, naq bgure zrnfherf eryrinag gb qvtvgny grpuabybtl naq gur bayvar ernyz, pvivy fbpvrgl zhfg or npgviryl vaibyirq.	162	74	-487.6514587402344
On the one hand, the population is not large, about 220 thousand people.	72	17	-50.31577682495117
Ba gur bar unaq, gur cbchyngvba vf abg ynetr, nobhg 220 gubhfnaq crbcyr.	72	34	-211.6566925048828
But according to new research by the Community and Labor Center at the University of California, Merced, employers often ignore this law.	137	26	-72.61962890625
Ohg nppbeqvat gb arj erfrnepu ol gur Pbzzhavgl naq Ynobe Pragre ng gur Havirefvgl bs Pnyvsbeavn, Zreprq, rzcyblref bsgra vtaber guvf ynj.	137	63	-430.6340637207031
It’s all moving all the time.	29	8	-49.033203125
Vg’f nyy zbivat nyy gur gvzr.	29	17	-115.2876205444336
In some cases, it took months, if not years, to complete the process, if it was finalized at all.	97	24	-51.3943977355957
Va fbzr pnfrf, vg gbbx zbaguf, vs abg lrnef, gb pbzcyrgr gur cebprff, vs vg jnf svanyvmrq ng nyy.	97	47	-287.48602294921875
This led to a high demand for quality produce, causing a significant increase in food prices.	93	18	-55.22938537597656
Guvf yrq gb n uvtu qrznaq sbe dhnyvgl cebqhpr, pnhfvat n fvtavsvpnag vapernfr va sbbq cevprf.	93	48	-305.53863525390625
At first glance, it was clear that they were not only colleagues but dear friends.	82	17	-47.02035140991211
Ng svefg tynapr, vg jnf pyrne gung gurl jrer abg bayl pbyyrnthrf ohg qrne sevraqf.	82	36	-268.6989440917969
This report identifies the following crucial components that are necessary to guarantee success in this direction.	114	17	-65.0765151977539
Guvf ercbeg vqragvsvrf gur sbyybjvat pehpvny pbzcbaragf gung ner arprffnel gb thnenagrr fhpprff va guvf qverpgvba.	114	53	-347.6397399902344
We have to insist on speaking against and resisting the wrongs.	63	13	-55.019805908203125
Jr unir gb vafvfg ba fcrnxvat ntnvafg naq erfvfgvat gur jebatf.	63	32	-190.32568359375
Many of the artists, musicians, writers, and activists who had marched went on to fill these gaps in cultural and societal recognition.	135	26	-89.98734283447266
Znal bs gur negvfgf, zhfvpvnaf, jevgref, naq npgvivfgf jub unq znepurq jrag ba gb svyy gurfr tncf va phygheny naq fbpvrgny erpbtavgvba.	135	64	-416.2369384765625
Those who understand the region will get what I mean from this simple phrase.	77	15	-58.296775817871094
Gubfr jub haqrefgnaq gur ertvba jvyy trg jung V zrna sebz guvf fvzcyr cuenfr.	77	35	-249.56832885742188
In his view, the Central Valley is full of opportunities to improve the lives of people who have historically been excluded from civic life.	140	26	-69.07444763183594
Va uvf ivrj, gur Prageny Inyyrl vf shyy bs bccbeghavgvrf gb vzcebir gur yvirf bs crbcyr jub unir uvfgbevpnyyl orra rkpyhqrq sebz pvivp yvsr.	140	64	-433.79547119140625
The resolution of conflicts has to be based on the truth.	57	12	-37.3350944519043
Gur erfbyhgvba bs pbasyvpgf unf gb or onfrq ba gur gehgu.	57	25	-178.41778564453125
As a professor, the five classes he teaches per semester support those same students to achieve their leadership potential.	123	21	-89.59208679199219
Nf n cebsrffbe, gur svir pynffrf ur grnpurf cre frzrfgre fhccbeg gubfr fnzr fghqragf gb npuvrir gurve yrnqrefuvc cbgragvny.	123	59	-385.0767517089844
They send us anonymous information, and then we try to verify it through our sources.	85	17	-53.278343200683594
Gurl fraq hf nabalzbhf vasbezngvba, naq gura jr gel gb irevsl vg guebhtu bhe fbheprf.	85	39	-261.5434265136719
Going for the other guy rather than sticking with the devil you know is too big of a risk to take, especially in the face of such dramatic uncertainty.	151	31	-95.24991607666016
Tbvat sbe gur bgure thl engure guna fgvpxvat jvgu gur qrivy lbh xabj vf gbb ovt bs n evfx gb gnxr, rfcrpvnyyl va gur snpr bs fhpu qenzngvp hapregnvagl.	151	68	-450.7208251953125
People are free to talk about our projects, but we focus our energies on elevating the projects rather than worrying about negative comments.	141	26	-86.56832122802734
Crbcyr ner serr gb gnyx nobhg bhe cebwrpgf, ohg jr sbphf bhe raretvrf ba ryringvat gur cebwrpgf engure guna jbeelvat nobhg artngvir pbzzragf.	141	60	-385.89093017578125
The trade turnover between Turkey and Central Asia grew from USD 6.5 billion in 2010 to USD 8.6 billion in 2014.	112	32	-62.87451934814453
Gur genqr gheabire orgjrra Ghexrl naq Prageny Nfvn terj sebz HFQ 6.5 ovyyvba va 2010 gb HFQ 8.6 ovyyvba va 2014.	112	57	-340.4827880859375
Not only does the day coincide with the start of the country's rainy season, but it is said that anything planted on this day will thrive.	138	29	-83.60904693603516
Abg bayl qbrf gur qnl pbvapvqr jvgu gur fgneg bs gur pbhagel'f enval frnfba, ohg vg vf fnvq gung nalguvat cynagrq ba guvf qnl jvyy guevir.	138	66	-390.57159423828125
What are your hopes for the independent filmmaking scene in Indonesia?	70	13	-38.89440155029297
Jung ner lbhe ubcrf sbe gur vaqrcraqrag svyzznxvat fprar va Vaqbarfvn?	70	31	-230.6636962890625
The relationship between these groups is our main challenge.	60	10	-41.54947280883789
Gur eryngvbafuvc orgjrra gurfr tebhcf vf bhe znva punyyratr.	60	28	-207.16331481933594
It is still like this in a number of ministries, not just in the Ministry of Education.	87	19	-55.379032135009766
Vg vf fgvyy yvxr guvf va n ahzore bs zvavfgevrf, abg whfg va gur Zvavfgel bs Rqhpngvba.	87	44	-273.841064453125
Marine Protected Areas (MPAs) are managed by the government through the Fisheries Department, while national parks and wildlife sanctuaries are co-managed.	155	31	-69.39561462402344
Znevar Cebgrpgrq Nernf (ZCNf) ner znantrq ol gur tbireazrag guebhtu gur Svfurevrf Qrcnegzrag, juvyr angvbany cnexf naq jvyqyvsr fnapghnevrf ner pb-znantrq.	155	75	-499.60076904296875
He is the one who always said that the region there is just one land: it is even the title of one of his books.	111	27	-91.83924102783203
Ur vf gur bar jub nyjnlf fnvq gung gur ertvba gurer vf whfg bar ynaq: vg vf rira gur gvgyr bs bar bs uvf obbxf.	111	48	-290.32373046875
We are very careful about the voices we want to address, so we need to collaborate with others for sustainable impact.	118	23	-84.0540542602539
Jr ner irel pnershy nobhg gur ibvprf jr jnag gb nqqerff, fb jr arrq gb pbyynobengr jvgu bguref sbe fhfgnvanoyr vzcnpg.	118	55	-359.59844970703125
In a word, everything has been complicated there.	49	10	-41.77679443359375
Va n jbeq, rirelguvat unf orra pbzcyvpngrq gurer.	49	23	-163.3091583251953
When we ran for office, we had no program and practically did not know what could be done.	90	20	-64.15882873535156
Jura jr ena sbe bssvpr, jr unq ab cebtenz naq cenpgvpnyyl qvq abg xabj jung pbhyq or qbar.	90	43	-276.9371337890625
To date, however, the brand does not appear to have its own website.	68	16	-44.128150939941406
Gb qngr, ubjrire, gur oenaq qbrf abg nccrne gb unir vgf bja jrofvgr.	68	33	-232.2620086669922
A woman in a vibrant headscarf sings as she marches with the procession.	72	16	-60.6962890625
N jbzna va n ivoenag urnqfpnes fvatf nf fur znepurf jvgu gur cebprffvba.	72	34	-230.1497802734375
Across the hundreds of miles we rode through the fields of the Central Valley, we don't remember seeing a single shade tent.	124	25	-82.95056915283203
Npebff gur uhaqerqf bs zvyrf jr ebqr guebhtu gur svryqf bs gur Prageny Inyyrl, jr qba'g erzrzore frrvat n fvatyr funqr grag.	124	60	-372.92034912109375
In addition, they reduced energy costs by installing solar panels in the Town Hall and changing the street lighting.	116	21	-69.01795959472656
Va nqqvgvba, gurl erqhprq raretl pbfgf ol vafgnyyvat fbyne cnaryf va gur Gbja Unyy naq punatvat gur fgerrg yvtugvat.	116	54	-356.9950256347656
Although it is an uphill battle to reach a fully inclusive society, she believes it will gradually change through dialogue and open discussion.	143	25	-84.56454467773438
Nygubhtu vg vf na hcuvyy onggyr gb ernpu n shyyl vapyhfvir fbpvrgl, fur oryvrirf vg jvyy tenqhnyyl punatr guebhtu qvnybthr naq bcra qvfphffvba.	143	68	-458.10406494140625
They crossed the Indian Ocean to the Cape of Good Hope, before making the last leg across the Atlantic Ocean, to the northern part of South America.	148	30	-75.52738952636719
Gurl pebffrq gur Vaqvna Bprna gb gur Pncr bs Tbbq Ubcr, orsber znxvat gur ynfg yrt npebff gur Ngynagvp Bprna, gb gur abegurea cneg bs Fbhgu Nzrevpn.	148	68	-439.0279541015625
Transitional justice is not a balance sheet of good and bad deeds.	66	14	-40.40210723876953
Genafvgvbany whfgvpr vf abg n onynapr furrg bs tbbq naq onq qrrqf.	66	31	-216.0987548828125
Therefore, in 1993 when she graduated with a Bachelor of Education degree, and most of her peers went on to become career teachers, she chose to reject the traditional route and instead became a tutor and private teacher.	221	44	-120.73648071289062
Gurersber, va 1993 jura fur tenqhngrq jvgu n Onpurybe bs Rqhpngvba qrterr, naq zbfg bs ure crref jrag ba gb orpbzr pnerre grnpuref, fur pubfr gb erwrpg gur genqvgvbany ebhgr naq vafgrnq orpnzr n ghgbe naq cevingr grnpure.	221	98	-633.5830078125
Why does the U.S. set aside certain places for preservation, maintenance, and public use?	89	19	-59.935665130615234
Jul qbrf gur H.F. frg nfvqr pregnva cynprf sbe cerfreingvba, znvagranapr, naq choyvp hfr?	89	41	-288.0181884765625
The success of co-management can be credited to its ability to weave local influence into government-based actions like enforcement, habitat monitoring, education, awareness and community participation.	202	32	-142.54417419433594
Gur fhpprff bs pb-znantrzrag pna or perqvgrq gb vgf novyvgl gb jrnir ybpny vasyhrapr vagb tbireazrag-onfrq npgvbaf yvxr rasbeprzrag, unovgng zbavgbevat, rqhpngvba, njnerarff naq pbzzhavgl cnegvpvcngvba.	202	94	-625.71630859375
They also sought to stimulate social life and citizen participation with cultural and recreational activities, such as concerts, lectures and seminars, photography contests, children's and family shows, traditional festivals, and exhibitions.	242	39	-125.74551391601562
Gurl nyfb fbhtug gb fgvzhyngr fbpvny yvsr naq pvgvmra cnegvpvcngvba jvgu phygheny naq erperngvbany npgvivgvrf, fhpu nf pbapregf, yrpgherf naq frzvanef, cubgbtencul pbagrfgf, puvyqera'f naq snzvyl fubjf, genqvgvbany srfgvinyf, naq rkuvovgvbaf.	242	119	-709.5492553710938
It is sad to see that it was received from that kind of angle.	62	15	-54.29219055175781
Vg vf fnq gb frr gung vg jnf erprvirq sebz gung xvaq bs natyr.	62	28	-204.04249572753906
Moreover, over the past two years, when covering events, we have been quoted by dozens of regional and international media from Central Asia, Russia, Europe and the United States.	179	35	-92.12397766113281
Zberbire, bire gur cnfg gjb lrnef, jura pbirevat riragf, jr unir orra dhbgrq ol qbmraf bs ertvbany naq vagreangvbany zrqvn sebz Prageny Nfvn, Ehffvn, Rhebcr naq gur Havgrq Fgngrf.	179	83	-540.3948364257812
The definition of a donor was also narrowed, making it difficult for foreign donors to fit this requirement.	108	20	-72.94061279296875
Gur qrsvavgvba bs n qbabe jnf nyfb aneebjrq, znxvat vg qvssvphyg sbe sbervta qbabef gb svg guvf erdhverzrag.	108	48	-337.6972961425781
As much as she wanted to be a teacher, she also wanted to live true to who she was.	83	21	-49.739315032958984
Nf zhpu nf fur jnagrq gb or n grnpure, fur nyfb jnagrq gb yvir gehr gb jub fur jnf.	83	35	-228.2696075439453
She never regretted her passion for the artistic craft, nor did she waver in her tireless dedication.	101	22	-71.09520721435547
Fur arire erterggrq ure cnffvba sbe gur negvfgvp pensg, abe qvq fur jnire va ure gveryrff qrqvpngvba.	101	46	-295.5118713378906
The most active and productive phase of cooperation has come under his rule.	76	14	-64.50175476074219
Gur zbfg npgvir naq cebqhpgvir cunfr bs pbbcrengvba unf pbzr haqre uvf ehyr.	76	37	-245.9782257080078
Miraculously, for all these centuries, those different parts maintained a dialogue with one another.	100	19	-66.79141998291016
Zvenphybhfyl, sbe nyy gurfr praghevrf, gubfr qvssrerag cnegf znvagnvarq n qvnybthr jvgu bar nabgure.	100	48	-322.94281005859375
On the one hand, this protects our team from any hypothetical pressure, but on the other hand, it reduces confidence in us as a resource, because it is not clear who stands behind it.	183	39	-116.96416473388672
Ba gur bar unaq, guvf cebgrpgf bhe grnz sebz nal ulcbgurgvpny cerffher, ohg ba gur bgure unaq, vg erqhprf pbasvqrapr va hf nf n erfbhepr, orpnhfr vg vf abg pyrne jub fgnaqf oruvaq vg.	183	82	-524.6258544921875
Nepal, despite its potential to lead the global mountaineering arena, faces challenges due to the lack of robust government support and adequate human resources.	161	31	-102.93753051757812
Arcny, qrfcvgr vgf cbgragvny gb yrnq gur tybony zbhagnvarrevat neran, snprf punyyratrf qhr gb gur ynpx bs ebohfg tbireazrag fhccbeg naq nqrdhngr uhzna erfbheprf.	161	74	-488.7706604003906
To withdraw money in another country, you need to have it declared.	67	14	-45.37907028198242
Gb jvguqenj zbarl va nabgure pbhagel, lbh arrq gb unir vg qrpynerq.	67	32	-220.20387268066406
In times of crisis, art should be pragmatic.	44	10	-40.601165771484375
Va gvzrf bs pevfvf, neg fubhyq or centzngvp.	44	21	-148.37513732910156
The situation at the university level is quite deplorable.	58	12	-40.646175384521484
Gur fvghngvba ng gur havirefvgl yriry vf dhvgr qrcybenoyr.	58	27	-184.07179260253906
While various Roman Catholic parishes across the country continue the procession tradition, the largest takes place at the Cathedral of the Immaculate Conception, which sits at the eastern end of Independence Square in the heart of the capital city.	249	46	-115.60701751708984
Juvyr inevbhf Ebzna Pngubyvp cnevfurf npebff gur pbhagel pbagvahr gur cebprffvba genqvgvba, gur ynetrfg gnxrf cynpr ng gur Pngurqeny bs gur Vzznphyngr Pbaprcgvba, juvpu fvgf ng gur rnfgrea raq bs Vaqrcraqrapr Fdhner va gur urneg bs gur pncvgny pvgl.	249	117	-713.3909301757812
Already, there are signs that Turks, from all walks of life — especially those with little children — intend to seek opportunities abroad.	138	26	-84.92437744140625
Nyernql, gurer ner fvtaf gung Ghexf, sebz nyy jnyxf bs yvsr — rfcrpvnyyl gubfr jvgu yvggyr puvyqera — vagraq gb frrx bccbeghavgvrf noebnq.	138	67	-449.71063232421875
Here at Global Voices, which publishes media and storytelling from the global majority, many of us long to see similar transformations in our communities.	154	27	-107.77410125732422
Urer ng Tybony Ibvprf, juvpu choyvfurf zrqvn naq fgbelgryyvat sebz gur tybony znwbevgl, znal bs hf ybat gb frr fvzvyne genafsbezngvbaf va bhe pbzzhavgvrf.	154	73	-483.3673095703125
Eight of the top ten highest mountain peaks in the world are located in Nepal, making it a popular destination for mountaineers.	128	26	-48.161888122558594
Rvtug bs gur gbc gra uvturfg zbhagnva crnxf va gur jbeyq ner ybpngrq va Arcny, znxvat vg n cbchyne qrfgvangvba sbe zbhagnvarref.	128	55	-387.6605224609375
The sources the newspaper cited appeared to rely on conjecture and rumour.	74	15	-59.45042419433594
Gur fbheprf gur arjfcncre pvgrq nccrnerq gb eryl ba pbawrpgher naq ehzbhe.	74	35	-244.91458129882812
Some of the managers of those organizations had to leave the country afterwards.	80	14	-49.878570556640625
Fbzr bs gur znantref bs gubfr betnavmngvbaf unq gb yrnir gur pbhagel nsgrejneqf.	80	39	-257.78533935546875
We are facing a shortage of people, strength, hands, boats, and even basic equipment like oars.	95	22	-84.97925567626953
Jr ner snpvat n fubegntr bs crbcyr, fgeratgu, unaqf, obngf, naq rira onfvp rdhvczrag yvxr bnef.	95	49	-319.0193786621094
The responsibility for forest protection was delegated to the regions, which often struggle with insufficient funding.	118	18	-69.74259948730469
Gur erfcbafvovyvgl sbe sberfg cebgrpgvba jnf qryrtngrq gb gur ertvbaf, juvpu bsgra fgehttyr jvgu vafhssvpvrag shaqvat.	118	59	-363.02325439453125
Most of our readers, judging by the statistics, are located in Russia and Tajikistan, followed by the USA, Europe and other countries.	134	29	-87.0923080444336
Zbfg bs bhe ernqref, whqtvat ol gur fgngvfgvpf, ner ybpngrq va Ehffvn naq Gnwvxvfgna, sbyybjrq ol gur HFN, Rhebcr naq bgure pbhagevrf.	134	66	-422.210205078125
Yet with sons, there may also be another letter.	48	11	-55.87470245361328
Lrg jvgu fbaf, gurer znl nyfb or nabgure yrggre.	48	22	-153.3388671875
To this day, we continue to invoke other ecosystems.	52	11	-48.88518142700195
Gb guvf qnl, jr pbagvahr gb vaibxr bgure rpbflfgrzf.	52	24	-171.46731567382812
True, he was not totally pleased with the paintings.	52	11	-46.3112907409668
Gehr, ur jnf abg gbgnyyl cyrnfrq jvgu gur cnvagvatf.	52	27	-169.44651794433594
I guess everyone has their own shot, and some may make it splash.	65	15	-67.60272216796875
V thrff rirelbar unf gurve bja fubg, naq fbzr znl znxr vg fcynfu.	65	31	-206.73619079589844
I will not give up just for a dancer.	37	10	-44.35880661010742
V jvyy abg tvir hc whfg sbe n qnapre.	37	18	-128.8368377685547
Most of our patrons are urban locals below 17.	46	11	-57.71860122680664
Zbfg bs bhe cngebaf ner heona ybpnyf orybj 17.	46	22	-161.8352813720703
It would just take a few times to get it into the other phone.	62	15	-55.11143493652344
Vg jbhyq whfg gnxr n srj gvzrf gb trg vg vagb gur bgure cubar.	62	28	-201.55519104003906
Sure, if some don't read, so be it.	35	12	-39.0533332824707
Fher, vs fbzr qba'g ernq, fb or vg.	35	18	-126.02377319335938
Sorry, Annathon writes to our Copyright Users.	46	10	-72.62030029296875
Fbeel, Naanguba jevgrf gb bhe Pbclevtug Hfref.	46	23	-172.332763671875
Because of this, first posts have padding for citation servers.	63	12	-76.0999526977539
Orpnhfr bs guvf, svefg cbfgf unir cnqqvat sbe pvgngvba freiref.	63	29	-206.5402374267578
The salon does not have ties to any political party; each patron has her own beautiful doing.	93	19	-86.56535339355469
Gur fnyba qbrf abg unir gvrf gb nal cbyvgvpny cnegl; rnpu cngeba unf ure bja ornhgvshy qbvat.	93	41	-298.5755310058594
Otherwise, all debt is too oriented on missions to tomorrow.	60	12	-73.83415985107422
Bgurejvfr, nyy qrog vf gbb bevragrq ba zvffvbaf gb gbzbeebj.	60	29	-197.26258850097656
I think there are a lot of nice laws to allow parole.	53	13	-53.92238998413086
V guvax gurer ner n ybg bs avpr ynjf gb nyybj cnebyr.	53	25	-175.9361572265625
This is why I wanted to announce it as nonbroken.	49	12	-54.18762969970703
Guvf vf jul V jnagrq gb naabhapr vg nf abaoebxra.	49	22	-170.39808654785156
Society is divided into discrete pieces with exclusive projects.	64	11	-55.304100036621094
Fbpvrgl vf qvivqrq vagb qvfpergr cvrprf jvgu rkpyhfvir cebwrpgf.	64	35	-219.47219848632812
Are dogs yet climbing a jungle of their own?	44	10	-57.39046096801758
Ner qbtf lrg pyvzovat n whatyr bs gurve bja?	44	20	-154.1442413330078
Meanwhile, it is positive that poets whom we first influence gain no fidelity in his game.	90	18	-116.15970611572266
Zrnajuvyr, vg vf cbfvgvir gung cbrgf jubz jr svefg vasyhrapr tnva ab svqryvgl va uvf tnzr.	90	40	-294.1534423828125
I came to the Philippines when I was 26 and had no trouble following.	69	16	-59.796871185302734
V pnzr gb gur Cuvyvccvarf jura V jnf 26 naq unq ab gebhoyr sbyybjvat.	69	36	-238.4780731201172
Perhaps, due to its lack of symmetry, fate was not wandering isolated.	70	15	-75.23359680175781
Creuncf, qhr gb vgf ynpx bs flzzrgel, sngr jnf abg jnaqrevat vfbyngrq.	70	33	-240.6226806640625
Instead, the right of freedom of expression must be valued both online and offline.	83	16	-48.05869674682617
