index	task	input	output	correct
0	conversion_ood_actualprimedcontrol	931	1707.8	0
1	conversion_ood_actualprimedcontrol	927	1700.6	1
2	conversion_ood_actualprimedcontrol	714	1317.2	0
3	conversion_ood_actualprimedcontrol	649	1200.2	1
4	conversion_ood_actualprimedcontrol	712	1313.6	0
5	conversion_ood_actualprimedcontrol	615	1139.0	1
6	conversion_ood_actualprimedcontrol	899	1650.2	1
7	conversion_ood_actualprimedcontrol	864	1587.2	0
8	conversion_ood_actualprimedcontrol	583	1081.4	1
9	conversion_ood_actualprimedcontrol	877	1610.6	0
10	conversion_ood_actualprimedcontrol	913	1675.4	1
11	conversion_ood_actualprimedcontrol	541	1005.8	1
12	conversion_ood_actualprimedcontrol	642	1187.6	0
13	conversion_ood_actualprimedcontrol	643	1189.4	0
14	conversion_ood_actualprimedcontrol	771	1419.8	1
15	conversion_ood_actualprimedcontrol	622	1151.6	1
16	conversion_ood_actualprimedcontrol	801	1473.8	0
17	conversion_ood_actualprimedcontrol	534	993.2	1
18	conversion_ood_actualprimedcontrol	715	1319.0	0
19	conversion_ood_actualprimedcontrol	947	1736.6	0
20	conversion_ood_actualprimedcontrol	837	1538.6	1
21	conversion_ood_actualprimedcontrol	538	1000.4	1
22	conversion_ood_actualprimedcontrol	924	1695.2	1
23	conversion_ood_actualprimedcontrol	939	1722.2	0
24	conversion_ood_actualprimedcontrol	639	1182.2	0
25	conversion_ood_actualprimedcontrol	622	1151.6	1
26	conversion_ood_actualprimedcontrol	701	1293.8	0
27	conversion_ood_actualprimedcontrol	532	989.6	1
28	conversion_ood_actualprimedcontrol	963	1765.4	0
29	conversion_ood_actualprimedcontrol	995	1823.0	0
30	conversion_ood_actualprimedcontrol	689	1272.2	0
31	conversion_ood_actualprimedcontrol	737	1358.6	0
32	conversion_ood_actualprimedcontrol	552	1025.6	1
33	conversion_ood_actualprimedcontrol	727	1340.6	1
34	conversion_ood_actualprimedcontrol	988	1810.4	0
35	conversion_ood_actualprimedcontrol	768	1414.4	0
36	conversion_ood_actualprimedcontrol	731	1347.8	1
37	conversion_ood_actualprimedcontrol	876	1608.8	0
38	conversion_ood_actualprimedcontrol	793	1459.4	0
39	conversion_ood_actualprimedcontrol	977	1790.6	0
40	conversion_ood_actualprimedcontrol	544	1011.2	1
41	conversion_ood_actualprimedcontrol	738	1360.4	0
42	conversion_ood_actualprimedcontrol	745	1373.0	0
43	conversion_ood_actualprimedcontrol	937	1718.6	0
44	conversion_ood_actualprimedcontrol	528	982.4	0
45	conversion_ood_actualprimedcontrol	633	1171.4	1
46	conversion_ood_actualprimedcontrol	834	1533.2	0
47	conversion_ood_actualprimedcontrol	701	1293.8	0
48	conversion_ood_actualprimedcontrol	691	1275.8	0
49	conversion_ood_actualprimedcontrol	648	1198.4	0
50	conversion_ood_actualprimedcontrol	724	1335.2	0
51	conversion_ood_actualprimedcontrol	925	1697.0	1
52	conversion_ood_actualprimedcontrol	923	1693.4	1
53	conversion_ood_actualprimedcontrol	943	1729.4	0
54	conversion_ood_actualprimedcontrol	919	1686.2	1
55	conversion_ood_actualprimedcontrol	923	1693.4	1
56	conversion_ood_actualprimedcontrol	986	1806.8	1
57	conversion_ood_actualprimedcontrol	566	1050.8	1
58	conversion_ood_actualprimedcontrol	624	1155.2	1
59	conversion_ood_actualprimedcontrol	905	1661.0	0
60	conversion_ood_actualprimedcontrol	711	1311.8	0
61	conversion_ood_actualprimedcontrol	573	1063.4	1
62	conversion_ood_actualprimedcontrol	633	1171.4	1
63	conversion_ood_actualprimedcontrol	641	1185.8	0
64	conversion_ood_actualprimedcontrol	964	1767.2	0
65	conversion_ood_actualprimedcontrol	845	1553.0	0
66	conversion_ood_actualprimedcontrol	843	1549.4	0
67	conversion_ood_actualprimedcontrol	642	1187.6	0
68	conversion_ood_actualprimedcontrol	786	1446.8	0
69	conversion_ood_actualprimedcontrol	606	1122.8	1
70	conversion_ood_actualprimedcontrol	809	1488.2	0
71	conversion_ood_actualprimedcontrol	941	1725.8	0
72	conversion_ood_actualprimedcontrol	783	1441.4	0
73	conversion_ood_actualprimedcontrol	777	1430.6	0
74	conversion_ood_actualprimedcontrol	623	1153.4	1
75	conversion_ood_actualprimedcontrol	716	1320.8	0
76	conversion_ood_actualprimedcontrol	874	1605.2	0
77	conversion_ood_actualprimedcontrol	757	1394.6	0
78	conversion_ood_actualprimedcontrol	973	1783.4	0
79	conversion_ood_actualprimedcontrol	774	1425.2	0
80	conversion_ood_actualprimedcontrol	891	1635.8	0
81	conversion_ood_actualprimedcontrol	919	1686.2	0
82	conversion_ood_actualprimedcontrol	652	1205.6	1
83	conversion_ood_actualprimedcontrol	607	1124.6	1
84	conversion_ood_actualprimedcontrol	761	1401.8	0
85	conversion_ood_actualprimedcontrol	881	1617.8	0
86	conversion_ood_actualprimedcontrol	875	1607.0	0
87	conversion_ood_actualprimedcontrol	889	1632.2	0
88	conversion_ood_actualprimedcontrol	558	1036.4	1
89	conversion_ood_actualprimedcontrol	757	1394.6	0
90	conversion_ood_actualprimedcontrol	842	1547.6	0
91	conversion_ood_actualprimedcontrol	933	1711.4	1
92	conversion_ood_actualprimedcontrol	673	1243.4	0
93	conversion_ood_actualprimedcontrol	689	1272.2	0
94	conversion_ood_actualprimedcontrol	915	1679.0	1
95	conversion_ood_actualprimedcontrol	518	964.4	0
96	conversion_ood_actualprimedcontrol	509	948.2	1
97	conversion_ood_actualprimedcontrol	931	1707.8	0
98	conversion_ood_actualprimedcontrol	952	1745.6	1
99	conversion_ood_actualprimedcontrol	811	1491.8	1
