index	prompt	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
68		68	33	-226.1498565673828	68	16	-41.370140075683594	0
69		72	34	-224.24850463867188	72	16	-56.90277099609375	0
70		124	60	-367.7408752441406	124	25	-79.6325454711914	0
71		116	54	-351.0451354980469	116	21	-65.73139190673828	1
72		143	68	-452.1546630859375	143	25	-81.18196105957031	1
73		148	68	-433.47064208984375	148	30	-73.00980377197266	1
74		66	31	-209.92449951171875	66	14	-37.51624298095703	0
75		221	98	-627.6616821289062	221	44	-117.86180114746094	1
76		89	41	-281.6177673339844	89	19	-56.938880920410156	0
77		202	94	-620.1790161132812	202	32	-138.35169982910156	0
78		242	119	-704.1738891601562	242	39	-122.52127075195312	0
79		62	28	-198.04124450683594	62	15	-50.67271041870117	0
80		179	83	-534.82373046875	179	35	-89.49186706542969	0
81		108	48	-332.3370056152344	108	20	-69.29358673095703	0
82		83	35	-223.19696044921875	83	21	-47.37077713012695	1
83		101	46	-289.717529296875	101	22	-67.709716796875	0
84		76	37	-239.978759765625	76	14	-59.89448928833008	1
85		100	48	-316.48394775390625	100	19	-63.276084899902344	0
86		183	82	-519.1609497070312	183	39	-113.96508026123047	0
87		161	74	-483.0204162597656	161	31	-99.6169662475586	0
88		67	32	-213.91233825683594	67	14	-42.1377067565918	0
89		44	21	-142.19284057617188	44	10	-36.54104995727539	0
90		58	27	-178.13400268554688	58	12	-36.95106887817383	0
91		249	117	-707.9033203125	249	46	-113.09381866455078	0
92		138	67	-443.46466064453125	138	26	-81.65805053710938	1
93		154	73	-477.74676513671875	154	27	-103.782470703125	0
94		128	55	-381.60333251953125	128	26	-46.309505462646484	1
95		74	35	-238.79171752929688	74	15	-55.2039680480957	0
96		80	39	-251.6475830078125	80	14	-46.31581497192383	0
97		95	49	-312.8843688964844	95	22	-81.11656188964844	0
98		118	59	-357.5229187011719	118	18	-65.86801147460938	0
99		134	66	-416.58074951171875	134	29	-84.08912658691406	0
0	step	48	22	-140.60926818847656	48	11	-27.93722152709961	1
1	step	52	26	-163.6525421142578	52	11	-28.953365325927734	1
2	step	52	25	-171.843505859375	52	11	-26.487857818603516	1
3	step	65	31	-206.29026794433594	65	15	-37.637943267822266	1
4	step	37	18	-123.99187469482422	37	10	-24.102802276611328	1
5	step	46	21	-147.97755432128906	46	11	-31.41360092163086	1
6	step	62	29	-196.71104431152344	62	15	-39.41438293457031	1
7	step	35	19	-120.37667083740234	35	12	-23.923954010009766	1
8	step	46	22	-162.6747589111328	46	10	-33.841861724853516	1
9	step	63	27	-199.68048095703125	63	12	-32.02788543701172	1
10	step	93	42	-282.2359619140625	93	19	-52.94271469116211	1
11	step	60	30	-203.36758422851562	60	12	-38.37535858154297	1
12	step	53	24	-172.80935668945312	53	13	-32.106292724609375	1
13	step	49	23	-163.3039093017578	49	12	-36.10759735107422	1
14	step	64	35	-210.41835021972656	64	11	-29.38847541809082	1
15	step	44	21	-151.58209228515625	44	10	-31.455020904541016	1
16	step	90	37	-273.0709228515625	90	18	-53.77836227416992	1
17	step	69	34	-232.32228088378906	69	16	-42.806087493896484	0
18	step	70	31	-228.52511596679688	70	15	-40.61770248413086	1
19	step	83	35	-252.00912475585938	83	16	-35.57762908935547	1
20	step	65	30	-204.7446746826172	65	13	-35.572120666503906	1
21	step	70	33	-227.9893035888672	70	11	-29.387317657470703	1
22	step	65	37	-217.43850708007812	65	12	-34.81201934814453	0
23	step	74	34	-229.71331787109375	74	17	-45.26503372192383	0
24	step	69	33	-222.26239013671875	69	13	-42.615394592285156	1
25	step	66	34	-207.86880493164062	66	12	-29.896778106689453	1
26	step	133	66	-430.7501220703125	133	27	-75.66192626953125	0
27	step	50	25	-166.2104949951172	50	9	-36.58509826660156	1
28	step	124	55	-383.0555725097656	124	21	-57.69941329956055	0
29	step	205	95	-623.8385620117188	205	36	-114.3672103881836	1
30	step	104	48	-342.072265625	104	19	-56.213897705078125	1
31	step	124	56	-384.4554748535156	124	21	-52.600440979003906	1
32	step	91	40	-263.4158020019531	91	21	-51.83712387084961	1
33	step	82	38	-243.68359375	82	17	-54.44925308227539	0
34	step	140	66	-399.5340270996094	140	27	-81.36456298828125	0
35	step	70	36	-226.93954467773438	70	16	-54.637413024902344	0
36	step	83	40	-273.0612487792969	83	18	-45.597023010253906	0
37	step	148	71	-478.287109375	148	27	-84.19001007080078	0
38	step	91	45	-284.5523986816406	91	20	-50.3885383605957	1
39	step	56	25	-177.27525329589844	56	14	-36.98693084716797	1
40	step	146	69	-426.05780029296875	146	31	-81.09586334228516	1
41	step	162	74	-481.9810791015625	162	28	-90.02587890625	0
42	step	72	34	-206.08677673339844	72	17	-47.17103958129883	1
43	step	137	63	-424.7349853515625	137	26	-69.82656860351562	0
44	step	29	17	-109.52323913574219	29	8	-44.1298828125	1
45	step	97	47	-282.4424133300781	97	24	-49.25296401977539	1
46	step	93	48	-299.77374267578125	93	18	-52.16108703613281	1
47	step	82	36	-262.5921325683594	82	17	-44.25444793701172	1
48	step	114	53	-341.84576416015625	114	17	-61.24848175048828	0
49	step	63	32	-185.0388641357422	63	13	-50.787513732910156	1
50	step	135	64	-410.6871032714844	135	26	-86.52629089355469	0
51	step	77	35	-243.626220703125	77	15	-54.41032409667969	0
52	step	140	64	-428.3730163574219	140	26	-66.41773986816406	1
53	step	57	25	-172.66238403320312	57	12	-34.22383499145508	1
54	step	123	59	-379.0599365234375	123	21	-85.32579040527344	1
55	step	85	39	-255.73135375976562	85	17	-50.14432144165039	0
56	step	151	68	-445.0868225097656	151	31	-92.17733764648438	1
57	step	141	60	-380.3782043457031	141	26	-83.23876953125	0
58	step	112	57	-334.5094299316406	112	32	-60.456268310546875	1
59	step	138	66	-385.4324951171875	138	29	-80.72598266601562	0
60	step	70	31	-224.07330322265625	70	13	-35.653202056884766	0
61	step	60	28	-200.88563537597656	60	10	-37.39452362060547	0
62	step	87	44	-268.4716491699219	87	19	-52.46434783935547	0
63	step	155	75	-493.432861328125	155	31	-67.22700500488281	0
64	step	111	48	-285.4029846191406	111	27	-88.43778228759766	0
65	step	118	55	-353.8905334472656	118	23	-80.39952850341797	1
66	step	49	23	-157.02804565429688	49	10	-37.599117279052734	0
67	step	90	43	-271.04486083984375	90	20	-60.950889587402344	1
68	step	68	33	-226.1498565673828	68	16	-41.370140075683594	0
69	step	72	34	-224.24850463867188	72	16	-56.90277099609375	1
70	step	124	60	-367.7408752441406	124	25	-79.6325454711914	0
71	step	116	54	-351.0451354980469	116	21	-65.73139190673828	1
72	step	143	68	-452.1546630859375	143	25	-81.18196105957031	0
73	step	148	68	-433.47064208984375	148	30	-73.00980377197266	1
74	step	66	31	-209.92449951171875	66	14	-37.51624298095703	0
75	step	221	98	-627.6616821289062	221	44	-117.86180114746094	0
76	step	89	41	-281.6177673339844	89	19	-56.938880920410156	0
77	step	202	94	-620.1790161132812	202	32	-138.35169982910156	0
78	step	242	119	-704.1738891601562	242	39	-122.52127075195312	0
79	step	62	28	-198.04124450683594	62	15	-50.67271041870117	0
80	step	179	83	-534.82373046875	179	35	-89.49186706542969	0
81	step	108	48	-332.3370056152344	108	20	-69.29358673095703	0
82	step	83	35	-223.19696044921875	83	21	-47.37077713012695	1
83	step	101	46	-289.717529296875	101	22	-67.709716796875	1
84	step	76	37	-239.978759765625	76	14	-59.89448928833008	0
85	step	100	48	-316.48394775390625	100	19	-63.276084899902344	1
86	step	183	82	-519.1609497070312	183	39	-113.96508026123047	0
87	step	161	74	-483.0204162597656	161	31	-99.6169662475586	0
88	step	67	32	-213.91233825683594	67	14	-42.1377067565918	0
89	step	44	21	-142.19284057617188	44	10	-36.54104995727539	1
90	step	58	27	-178.13400268554688	58	12	-36.95106887817383	0
91	step	249	117	-707.9033203125	249	46	-113.09381866455078	0
92	step	138	67	-443.46466064453125	138	26	-81.65805053710938	1
93	step	154	73	-477.74676513671875	154	27	-103.782470703125	0
94	step	128	55	-381.60333251953125	128	26	-46.309505462646484	1
95	step	74	35	-238.79171752929688	74	15	-55.2039680480957	0
96	step	80	39	-251.6475830078125	80	14	-46.31581497192383	0
97	step	95	49	-312.8843688964844	95	22	-81.11656188964844	0
98	step	118	59	-357.5229187011719	118	18	-65.86801147460938	0
99	step	134	66	-416.58074951171875	134	29	-84.08912658691406	0
0	cot	48	22	-140.60926818847656	48	11	-27.93722152709961	1
1	cot	52	26	-163.6525421142578	52	11	-28.953365325927734	1
2	cot	52	25	-171.843505859375	52	11	-26.487857818603516	1
3	cot	65	31	-206.29026794433594	65	15	-37.637943267822266	1
4	cot	37	18	-123.99187469482422	37	10	-24.102802276611328	1
5	cot	46	21	-147.97755432128906	46	11	-31.41360092163086	1
6	cot	62	29	-196.71104431152344	62	15	-39.41438293457031	1
7	cot	35	19	-120.37667083740234	35	12	-23.923954010009766	1
8	cot	46	22	-162.6747589111328	46	10	-33.841861724853516	1
9	cot	63	27	-199.68048095703125	63	12	-32.02788543701172	1
10	cot	93	42	-282.2359619140625	93	19	-52.94271469116211	1
11	cot	60	30	-203.36758422851562	60	12	-38.37535858154297	1
12	cot	53	24	-172.80935668945312	53	13	-32.106292724609375	1
13	cot	49	23	-163.3039093017578	49	12	-36.10759735107422	1
14	cot	64	35	-210.41835021972656	64	11	-29.38847541809082	1
15	cot	44	21	-151.58209228515625	44	10	-31.455020904541016	1
16	cot	90	37	-273.0709228515625	90	18	-53.77836227416992	1
17	cot	69	34	-232.32228088378906	69	16	-42.806087493896484	1
18	cot	70	31	-228.52511596679688	70	15	-40.61770248413086	1
19	cot	83	35	-252.00912475585938	83	16	-35.57762908935547	1
20	cot	65	30	-204.7446746826172	65	13	-35.572120666503906	1
21	cot	70	33	-227.9893035888672	70	11	-29.387317657470703	1
22	cot	65	37	-217.43850708007812	65	12	-34.81201934814453	0
23	cot	74	34	-229.71331787109375	74	17	-45.26503372192383	1
24	cot	69	33	-222.26239013671875	69	13	-42.615394592285156	1
25	cot	66	34	-207.86880493164062	66	12	-29.896778106689453	1
26	cot	133	66	-430.7501220703125	133	27	-75.66192626953125	0
27	cot	50	25	-166.2104949951172	50	9	-36.58509826660156	1
28	cot	124	55	-383.0555725097656	124	21	-57.69941329956055	1
29	cot	205	95	-623.8385620117188	205	36	-114.3672103881836	1
30	cot	104	48	-342.072265625	104	19	-56.213897705078125	1
31	cot	124	56	-384.4554748535156	124	21	-52.600440979003906	1
32	cot	91	40	-263.4158020019531	91	21	-51.83712387084961	1
33	cot	82	38	-243.68359375	82	17	-54.44925308227539	1
34	cot	140	66	-399.5340270996094	140	27	-81.36456298828125	1
35	cot	70	36	-226.93954467773438	70	16	-54.637413024902344	1
36	cot	83	40	-273.0612487792969	83	18	-45.597023010253906	1
37	cot	148	71	-478.287109375	148	27	-84.19001007080078	0
38	cot	91	45	-284.5523986816406	91	20	-50.3885383605957	1
39	cot	56	25	-177.27525329589844	56	14	-36.98693084716797	1
40	cot	146	69	-426.05780029296875	146	31	-81.09586334228516	1
41	cot	162	74	-481.9810791015625	162	28	-90.02587890625	0
42	cot	72	34	-206.08677673339844	72	17	-47.17103958129883	1
43	cot	137	63	-424.7349853515625	137	26	-69.82656860351562	0
44	cot	29	17	-109.52323913574219	29	8	-44.1298828125	1
45	cot	97	47	-282.4424133300781	97	24	-49.25296401977539	1
46	cot	93	48	-299.77374267578125	93	18	-52.16108703613281	1
47	cot	82	36	-262.5921325683594	82	17	-44.25444793701172	1
48	cot	114	53	-341.84576416015625	114	17	-61.24848175048828	1
49	cot	63	32	-185.0388641357422	63	13	-50.787513732910156	1
50	cot	135	64	-410.6871032714844	135	26	-86.52629089355469	0
51	cot	77	35	-243.626220703125	77	15	-54.41032409667969	0
52	cot	140	64	-428.3730163574219	140	26	-66.41773986816406	1
53	cot	57	25	-172.66238403320312	57	12	-34.22383499145508	1
54	cot	123	59	-379.0599365234375	123	21	-85.32579040527344	1
55	cot	85	39	-255.73135375976562	85	17	-50.14432144165039	0
56	cot	151	68	-445.0868225097656	151	31	-92.17733764648438	1
57	cot	141	60	-380.3782043457031	141	26	-83.23876953125	1
58	cot	112	57	-334.5094299316406	112	32	-60.456268310546875	1
59	cot	138	66	-385.4324951171875	138	29	-80.72598266601562	1
60	cot	70	31	-224.07330322265625	70	13	-35.653202056884766	0
61	cot	60	28	-200.88563537597656	60	10	-37.39452362060547	1
62	cot	87	44	-268.4716491699219	87	19	-52.46434783935547	0
63	cot	155	75	-493.432861328125	155	31	-67.22700500488281	1
64	cot	111	48	-285.4029846191406	111	27	-88.43778228759766	0
65	cot	118	55	-353.8905334472656	118	23	-80.39952850341797	1
66	cot	49	23	-157.02804565429688	49	10	-37.599117279052734	1
67	cot	90	43	-271.04486083984375	90	20	-60.950889587402344	1
68	cot	68	33	-226.1498565673828	68	16	-41.370140075683594	0
69	cot	72	34	-224.24850463867188	72	16	-56.90277099609375	1
70	cot	124	60	-367.7408752441406	124	25	-79.6325454711914	0
71	cot	116	54	-351.0451354980469	116	21	-65.73139190673828	1
72	cot	143	68	-452.1546630859375	143	25	-81.18196105957031	1
73	cot	148	68	-433.47064208984375	148	30	-73.00980377197266	1
74	cot	66	31	-209.92449951171875	66	14	-37.51624298095703	1
75	cot	221	98	-627.6616821289062	221	44	-117.86180114746094	0
76	cot	89	41	-281.6177673339844	89	19	-56.938880920410156	1
77	cot	202	94	-620.1790161132812	202	32	-138.35169982910156	1
78	cot	242	119	-704.1738891601562	242	39	-122.52127075195312	1
79	cot	62	28	-198.04124450683594	62	15	-50.67271041870117	1
80	cot	179	83	-534.82373046875	179	35	-89.49186706542969	1
81	cot	108	48	-332.3370056152344	108	20	-69.29358673095703	1
82	cot	83	35	-223.19696044921875	83	21	-47.37077713012695	1
83	cot	101	46	-289.717529296875	101	22	-67.709716796875	0
84	cot	76	37	-239.978759765625	76	14	-59.89448928833008	1
85	cot	100	48	-316.48394775390625	100	19	-63.276084899902344	1
86	cot	183	82	-519.1609497070312	183	39	-113.96508026123047	0
87	cot	161	74	-483.0204162597656	161	31	-99.6169662475586	0
88	cot	67	32	-213.91233825683594	67	14	-42.1377067565918	0
89	cot	44	21	-142.19284057617188	44	10	-36.54104995727539	1
90	cot	58	27	-178.13400268554688	58	12	-36.95106887817383	1
91	cot	249	117	-707.9033203125	249	46	-113.09381866455078	0
92	cot	138	67	-443.46466064453125	138	26	-81.65805053710938	0
93	cot	154	73	-477.74676513671875	154	27	-103.782470703125	1
94	cot	128	55	-381.60333251953125	128	26	-46.309505462646484	1
95	cot	74	35	-238.79171752929688	74	15	-55.2039680480957	0
96	cot	80	39	-251.6475830078125	80	14	-46.31581497192383	1
97	cot	95	49	-312.8843688964844	95	22	-81.11656188964844	0
98	cot	118	59	-357.5229187011719	118	18	-65.86801147460938	1
99	cot	134	66	-416.58074951171875	134	29	-84.08912658691406	1
