index	method	correct
44	multiplication_allcaps	1
45	multiplication_allcaps	1
46	multiplication_allcaps	1
47	multiplication_allcaps	0
48	multiplication_allcaps	1
49	multiplication_allcaps	1
50	multiplication_allcaps	1
51	multiplication_allcaps	1
52	multiplication_allcaps	1
53	multiplication_allcaps	1
54	multiplication_allcaps	1
55	multiplication_allcaps	1
56	multiplication_allcaps	1
57	multiplication_allcaps	1
58	multiplication_allcaps	1
59	multiplication_allcaps	1
60	multiplication_allcaps	1
61	multiplication_allcaps	1
62	multiplication_allcaps	0
63	multiplication_allcaps	1
64	multiplication_allcaps	1
65	multiplication_allcaps	1
66	multiplication_allcaps	1
67	multiplication_allcaps	1
68	multiplication_allcaps	1
69	multiplication_allcaps	1
70	multiplication_allcaps	1
71	multiplication_allcaps	1
72	multiplication_allcaps	1
73	multiplication_allcaps	1
74	multiplication_allcaps	1
75	multiplication_allcaps	1
76	multiplication_allcaps	1
77	multiplication_allcaps	1
78	multiplication_allcaps	1
79	multiplication_allcaps	1
80	multiplication_allcaps	1
81	multiplication_allcaps	1
82	multiplication_allcaps	1
83	multiplication_allcaps	1
84	multiplication_allcaps	1
85	multiplication_allcaps	1
86	multiplication_allcaps	1
87	multiplication_allcaps	0
88	multiplication_allcaps	1
89	multiplication_allcaps	1
90	multiplication_allcaps	1
91	multiplication_allcaps	1
92	multiplication_allcaps	1
93	multiplication_allcaps	1
94	multiplication_allcaps	1
95	multiplication_allcaps	1
96	multiplication_allcaps	0
97	multiplication_allcaps	1
98	multiplication_allcaps	1
99	multiplication_allcaps	1
0	multiplication_alternatingcaps	1
1	multiplication_alternatingcaps	0
2	multiplication_alternatingcaps	0
3	multiplication_alternatingcaps	0
4	multiplication_alternatingcaps	1
5	multiplication_alternatingcaps	0
6	multiplication_alternatingcaps	1
7	multiplication_alternatingcaps	1
8	multiplication_alternatingcaps	1
9	multiplication_alternatingcaps	1
10	multiplication_alternatingcaps	1
11	multiplication_alternatingcaps	0
12	multiplication_alternatingcaps	0
13	multiplication_alternatingcaps	1
14	multiplication_alternatingcaps	1
15	multiplication_alternatingcaps	1
16	multiplication_alternatingcaps	0
17	multiplication_alternatingcaps	1
18	multiplication_alternatingcaps	1
19	multiplication_alternatingcaps	0
20	multiplication_alternatingcaps	0
21	multiplication_alternatingcaps	1
22	multiplication_alternatingcaps	1
23	multiplication_alternatingcaps	0
24	multiplication_alternatingcaps	1
25	multiplication_alternatingcaps	0
26	multiplication_alternatingcaps	1
27	multiplication_alternatingcaps	1
28	multiplication_alternatingcaps	1
29	multiplication_alternatingcaps	1
30	multiplication_alternatingcaps	0
31	multiplication_alternatingcaps	1
32	multiplication_alternatingcaps	1
33	multiplication_alternatingcaps	1
34	multiplication_alternatingcaps	1
35	multiplication_alternatingcaps	1
36	multiplication_alternatingcaps	1
37	multiplication_alternatingcaps	1
38	multiplication_alternatingcaps	1
39	multiplication_alternatingcaps	1
40	multiplication_alternatingcaps	1
41	multiplication_alternatingcaps	1
42	multiplication_alternatingcaps	1
43	multiplication_alternatingcaps	0
44	multiplication_alternatingcaps	0
45	multiplication_alternatingcaps	1
46	multiplication_alternatingcaps	1
47	multiplication_alternatingcaps	0
48	multiplication_alternatingcaps	0
49	multiplication_alternatingcaps	1
50	multiplication_alternatingcaps	1
51	multiplication_alternatingcaps	1
52	multiplication_alternatingcaps	0
53	multiplication_alternatingcaps	0
54	multiplication_alternatingcaps	0
55	multiplication_alternatingcaps	0
56	multiplication_alternatingcaps	1
57	multiplication_alternatingcaps	1
58	multiplication_alternatingcaps	1
59	multiplication_alternatingcaps	0
60	multiplication_alternatingcaps	1
61	multiplication_alternatingcaps	0
62	multiplication_alternatingcaps	0
63	multiplication_alternatingcaps	1
64	multiplication_alternatingcaps	1
65	multiplication_alternatingcaps	1
66	multiplication_alternatingcaps	1
67	multiplication_alternatingcaps	1
68	multiplication_alternatingcaps	1
69	multiplication_alternatingcaps	0
70	multiplication_alternatingcaps	1
71	multiplication_alternatingcaps	1
72	multiplication_alternatingcaps	1
73	multiplication_alternatingcaps	1
74	multiplication_alternatingcaps	1
75	multiplication_alternatingcaps	1
76	multiplication_alternatingcaps	0
77	multiplication_alternatingcaps	1
78	multiplication_alternatingcaps	1
79	multiplication_alternatingcaps	1
80	multiplication_alternatingcaps	1
81	multiplication_alternatingcaps	1
82	multiplication_alternatingcaps	1
83	multiplication_alternatingcaps	1
84	multiplication_alternatingcaps	0
85	multiplication_alternatingcaps	0
86	multiplication_alternatingcaps	1
87	multiplication_alternatingcaps	0
88	multiplication_alternatingcaps	1
89	multiplication_alternatingcaps	1
90	multiplication_alternatingcaps	1
91	multiplication_alternatingcaps	1
92	multiplication_alternatingcaps	0
93	multiplication_alternatingcaps	1
94	multiplication_alternatingcaps	1
95	multiplication_alternatingcaps	0
96	multiplication_alternatingcaps	0
97	multiplication_alternatingcaps	0
98	multiplication_alternatingcaps	1
99	multiplication_alternatingcaps	0
