index	prompt	input_nchars	input_ntokens	input_logprob	output_nchars	output_ntokens	output_logprob	correct
80	cot	179	35	-89.49186706542969	179	83	-534.82373046875	0
81	cot	108	20	-69.29358673095703	108	48	-332.3370056152344	0
82	cot	83	21	-47.37077713012695	83	35	-223.19696044921875	1
83	cot	101	22	-67.709716796875	101	46	-289.717529296875	0
84	cot	76	14	-59.89448928833008	76	37	-239.978759765625	0
85	cot	100	19	-63.276084899902344	100	48	-316.48394775390625	0
86	cot	183	39	-113.96508026123047	183	82	-519.1609497070312	0
87	cot	161	31	-99.6169662475586	161	74	-483.0204162597656	0
88	cot	67	14	-42.1377067565918	67	32	-213.91233825683594	0
89	cot	44	10	-36.54104995727539	44	21	-142.19284057617188	0
90	cot	58	12	-36.95106887817383	58	27	-178.13400268554688	0
91	cot	249	46	-113.09381866455078	249	117	-707.9033203125	0
92	cot	138	26	-81.65805053710938	138	67	-443.46466064453125	0
93	cot	154	27	-103.782470703125	154	73	-477.74676513671875	0
94	cot	128	26	-46.309505462646484	128	55	-381.60333251953125	0
95	cot	74	15	-55.2039680480957	74	35	-238.79171752929688	0
96	cot	80	14	-46.31581497192383	80	39	-251.6475830078125	0
97	cot	95	22	-81.11656188964844	95	49	-312.8843688964844	0
98	cot	118	18	-65.86801147460938	118	59	-357.5229187011719	0
99	cot	134	29	-84.08912658691406	134	66	-416.58074951171875	0
